ELEMENT,int atomicNumber,String symbol,String name,float atomicMass,Color cpkHexColor(,String),String electronConfiguration,float electronegativity,int atomicRadius,float ionizationEnergy,float electronAffinity,String oxidationStates,String standardState,float meltingPoint,float boilingPoint,double density,String groupBlock,Year yearDiscovered(,int)
V,23,V,Vanadium,50.9415,Color.decode(,A6A6AB,[Ar]4s2 3d3,1.63,179,6.746,0.525,"+5, +4, +3, +2",Solid,2183,3680,6,Transition metal,Year.of(,1801
CR,24,Cr,Chromium,51.996,Color.decode(,8A99C7,[Ar]3d5 4s1,1.66,189,6.767,0.666,"+6, +3, +2",Solid,2180,2944,7.15,Transition metal,Year.of(,1797
MN,25,Mn,Manganese,54.93804,Color.decode(,9C7AC7,[Ar]4s2 3d5,1.55,197,7.434,,"+7, +4, +3, +2",Solid,1519,2334,7.3,Transition metal,Year.of(,1774
FE,26,Fe,Iron,55.84,Color.decode(,E06633,[Ar]4s2 3d6,1.83,194,7.902,0.163,"+3, +2",Solid,1811,3134,7.874,Transition metal,Year.of(,
CO,27,Co,Cobalt,58.93319,Color.decode(,F090A0,[Ar]4s2 3d7,1.88,192,7.881,0.661,"+3, +2",Solid,1768,3200,8.86,Transition metal,Year.of(,1735
NI,28,Ni,Nickel,58.693,Color.decode(,50D050,[Ar]4s2 3d8,1.91,163,7.64,1.156,"+3, +2",Solid,1728,3186,8.912,Transition metal,Year.of(,1751
CU,29,Cu,Copper,63.55,Color.decode(,C88033,[Ar]4s1 3d10,1.9,140,7.726,1.228,"+2, +1",Solid,1357.77,2835,8.933,Transition metal,Year.of(,
ZN,30,Zn,Zinc,65.4,Color.decode(,7D80B0,[Ar]4s2 3d10,1.65,139,9.394,,2,Solid,692.68,1180,7.134,Transition metal,Year.of(,1746
GA,31,Ga,Gallium,69.723,Color.decode(,C28F8F,[Ar]4s2 3d10 4p1,1.81,187,5.999,0.3,3,Solid,302.91,2477,5.91,Post-transition metal,Year.of(,1875
GE,32,Ge,Germanium,72.63,Color.decode(,668F8F,[Ar]4s2 3d10 4p2,2.01,211,7.9,1.35,"+4, +2",Solid,1211.4,3106,5.323,Metalloid,Year.of(,1886
